"row ID","Document","Sentence","Number of terms","Pre-processed"
"Row37","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Considering behavioural social lens inclusion diversity equity accessibility safety impact fields 
physical built environment Zallio Clarkson appears little effort advance knowledge 
practices design safe accessible inclusive digital virtual immersive environments Mahlich",31,"considering behavioural social lens inclusion diversity equity accessibility safety impact fields 
physical built environment zallio clarkson appears little effort advance knowledge 
practices design safe accessible inclusive digital virtual immersive environments mahlich"
"Row38","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","answer emerging priority research explores qualitative study ethical social impact metaverse 
human directions businesses society consider designing digital virtual immersive environments",21,"answer emerging priority research explores qualitative study ethical social impact metaverse 
human directions businesses society consider designing digital virtual immersive environments"
"Row39","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","2 art metaverse",3,"2 art metaverse"
"Row40","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","foundations metaverse recent history lie visions science fiction writers",9,"foundations metaverse recent history lie visions science fiction writers"
"Row41","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Neal Stephenson 
wrote science fiction novel Snow Crash term metaverse appears time depicted virtual urban envi-
ronment runs circumference spherical plane Stephenson",22,"neal stephenson 
wrote science fiction novel snow crash term metaverse appears time depicted virtual urban envi-
ronment runs circumference spherical plane stephenson"
"Row42","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","decade  San Francisco-based company Linden Lab created Life digital virtual environment people create avatars immerse themselves digital life Internet connection computer Linden Lab",23,"decade  san francisco-based company linden lab created life digital virtual environment people create avatars immerse themselves digital life internet connection computer linden lab"
"Row43","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","gaming industry provided fertile ground metaverse associated applications",8,"gaming industry provided fertile ground metaverse associated applications"
"Row44","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Companies including 
Roblox Corp Active Worlds Inc Epic Games Inc  developed digitalised virtual environments users create avatars immerse themselves active gameplay people",22,"companies including 
roblox corp active worlds inc epic games inc  developed digitalised virtual environments users create avatars immerse themselves active gameplay people"
"Row45","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","technology companies boosted development technologies services allow creators envision metaverse look future",12,"technology companies boosted development technologies services allow creators envision metaverse look future"
"Row46","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","rebranding exercise well-known social media company Facebook 
changed name Meta describing move ‘bring Facebook apps technologies company 
brand focus bringing metaverse life helping people connect communities grow businesses’ Facebook",30,"rebranding exercise well-known social media company facebook 
changed name meta describing move ‘bring facebook apps technologies company 
brand focus bringing metaverse life helping people connect communities grow businesses’ facebook"
"Row47","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Similarly Microsoft invested immersive environment business acquiring gaming company Activision Blizzard Microsoft implementing virtual presence shared experiences mixed reality applications popular 
Microsoft Teams platform Mesh Microsoft",26,"similarly microsoft invested immersive environment business acquiring gaming company activision blizzard microsoft implementing virtual presence shared experiences mixed reality applications popular 
microsoft teams platform mesh microsoft"
"Row48","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","omniverse Nvidia promoted extendable platform developed virtual collaboration real-time physically 
accurate simulation creators designers researchers engineers connect major design tools assets projects collab-
orate shared virtual spaces Nvidia Shapiro",30,"omniverse nvidia promoted extendable platform developed virtual collaboration real-time physically 
accurate simulation creators designers researchers engineers connect major design tools assets projects collab-
orate shared virtual spaces nvidia shapiro"
"Row49","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","growing trend technology increased market companies Meta Microsoft Nvidia shared vision metaverse future",13,"growing trend technology increased market companies meta microsoft nvidia shared vision metaverse future"
"Row50","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","defined metaverse set digital 
spaces including immersive 3D experiences interconnected people move easily Meta whilst 
defined gaming experience applied life entertainment social con-
nections Waters",25,"defined metaverse set digital 
spaces including immersive 3d experiences interconnected people move easily meta whilst 
defined gaming experience applied life entertainment social con-
nections waters"
"Row51","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","current time called renaissance immersive technology fervent period technological 
‘rebirth’ metaverse counterparts single digital immersive environment owned company",18,"current time called renaissance immersive technology fervent period technological 
‘rebirth’ metaverse counterparts single digital immersive environment owned company"
"Row52","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","variety digital worlds currently online social media meeting platforms productivity software e- 
commerce shops",14,"variety digital worlds currently online social media meeting platforms productivity software e- 
commerce shops"
"Row53","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","metaverse rapidly advancing definition evolve time particularly designers engineers researchers policy 
makers users community gather knowledge offer challenges 
carries",19,"metaverse rapidly advancing definition evolve time particularly designers engineers researchers policy 
makers users community gather knowledge offer challenges 
carries"
"Row54","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","somewhat unsophisticated lens easy view metaverse digital copy real world users freedom escape reality life",15,"somewhat unsophisticated lens easy view metaverse digital copy real world users freedom escape reality life"
"Row55","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","definition constrain potential future innovations devel-
opment safe inclusive metaverse",10,"definition constrain potential future innovations devel-
opment safe inclusive metaverse"
"Row56","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Additionally lead future misconceptions digital immersive environments 

M Zallio PJ Clarkson                                                                                                                                                compared physical environments causing disorientation misunderstanding users possibly resulting failure 
comprehend environment currently",24,"additionally lead future misconceptions digital immersive environments 

m zallio pj clarkson                                                                                                                                                compared physical environments causing disorientation misunderstanding users possibly resulting failure 
comprehend environment currently"
"Row57","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","3 Rationale materials methods 

identify novel questions explore fresh scenarios help businesses shed light directions lens inclusion diversity equity accessibility safety research explores ethical social impact metaverse related applications human life",31,"3 rationale materials methods 

identify novel questions explore fresh scenarios help businesses shed light directions lens inclusion diversity equity accessibility safety research explores ethical social impact metaverse related applications human life"
"Row58","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","in-depth semi-structured interviews concepts opinions collected tech industry experts tech-
nology companies currently shaping future digital immersive environments",19,"in-depth semi-structured interviews concepts opinions collected tech industry experts tech-
nology companies currently shaping future digital immersive environments"
"Row59","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","key aim interviews explore challenges opportunities identify key trends inform development practices designing future digital 
immersive environments guarantee inclusion diversity equity accessible",22,"key aim interviews explore challenges opportunities identify key trends inform development practices designing future digital 
immersive environments guarantee inclusion diversity equity accessible"
"Row60","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Twelve interviews carried data analysed targeting theoretical saturation participants responses",10,"twelve interviews carried data analysed targeting theoretical saturation participants responses"
"Row61","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Theoretical saturation occurs var-
iations identified pattern interviews Guest et al’s common approach understand interviews provide content analysis",19,"theoretical saturation occurs var-
iations identified pattern interviews guest et al’s common approach understand interviews provide content analysis"
"Row62","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","recognise saturation occurs synthesis sessions using tag lines notes thematic analysis conducted every-three interviews highlighted diversity sample variety content",19,"recognise saturation occurs synthesis sessions using tag lines notes thematic analysis conducted every-three interviews highlighted diversity sample variety content"
"Row63","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Insights emerged codes considered user sentiment insights evident collective sense lessons 
learnt meaningful findings plotted inform theoretical saturation thematic analysis",20,"insights emerged codes considered user sentiment insights evident collective sense lessons 
learnt meaningful findings plotted inform theoretical saturation thematic analysis"
"Row64","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","interviews questions clustered focused understanding broad thinking ideas metaverse impact people’s lives behaviour actions businesses undertake designing digital virtual 
immersive environments",21,"interviews questions clustered focused understanding broad thinking ideas metaverse impact people’s lives behaviour actions businesses undertake designing digital virtual 
immersive environments"
"Row65","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Questions cluster focused awareness knowledge metaverse potential questions “what 
promote Metaverse literacy awareness potential people age abilities”",18,"questions cluster focused awareness knowledge metaverse potential questions “what 
promote metaverse literacy awareness potential people age abilities”"
"Row66","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","cluster focused privacy integrity ethics metaverse questions “what guarantee safe metaverse every-one 
people transparency control data”",17,"cluster focused privacy integrity ethics metaverse questions “what guarantee safe metaverse every-one 
people transparency control data”"
"Row67","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","cluster focused safety wellbeing metaverse questions “how people safe online tools action protect self harms 
harassment risks” cluster focused practices guarantee inclusion diversity equity accessibility safety metaverse questions “how metaverse correlated technologies designed 
inclusively accessible  considering users age culture ability gender language religion”",45,"cluster focused safety wellbeing metaverse questions “how people safe online tools action protect self harms 
harassment risks” cluster focused practices guarantee inclusion diversity equity accessibility safety metaverse questions “how metaverse correlated technologies designed 
inclusively accessible  considering users age culture ability gender language religion”"
"Row68","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Participant recruitment procedure 

tech industry experts experience design 3D modelling immersive technology development project 
management recruited largest technology businesses globally g",21,"participant recruitment procedure 

tech industry experts experience design 3d modelling immersive technology development project 
management recruited largest technology businesses globally g"
"Row69","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Google NTT Panasonic HTC Meta etc",6,"google ntt panasonic htc meta etc"
"Row70","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","job titles vary “IoT expert pioneer” “Emerging tech VRAR executive” “Executive director” “Co-Founder” “Design Executive AR”",16,"job titles vary “iot expert pioneer” “emerging tech vrar executive” “executive director” “co-founder” “design executive ar”"
"Row71","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Due expertise technology industry managing teams designers virtual digital 
environments represent ideal pool candidates explore challenges opportunities metaverse offers",19,"due expertise technology industry managing teams designers virtual digital 
environments represent ideal pool candidates explore challenges opportunities metaverse offers"
"Row72","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Participants contacted via email direct message social media platforms LinkedIn Twitter introduction 
purpose study participating research project",17,"participants contacted via email direct message social media platforms linkedin twitter introduction 
purpose study participating research project"
"Row73","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","ethical approval ethics committee University Cambridge recruitment carried using snowball sampling method",12,"ethical approval ethics committee university cambridge recruitment carried using snowball sampling method"
"Row74","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","panel twelve expert participants agreed study",6,"panel twelve expert participants agreed study"
"Row75","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Table below participants’ information de-
mographic data",8,"table below participants’ information de-
mographic data"
"Row76","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","commencing interview email sent description study procedure signed 
informed consent form obtained",12,"commencing interview email sent description study procedure signed 
informed consent form obtained"
"Row77","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Participants varying backgrounds locations ages ranged 
 involved online interview session",10,"participants varying backgrounds locations ages ranged 
 involved online interview session"
"Row78","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Table Participants’ information demographic data",6,"table participants’ information demographic data"
"Row79","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Interviewee Location Age Gender Identity Expertise role 

USA Tech industry expert future technologist 
Italy Pioneer VRAR technology applications 
USA Tech industry expert VRAR technology 
USA Tech industry expert VRAR NFT Blockchain 
USA Tech industry expert pioneer VRAR technology applications 
USA Tech industry expert accessibility ambassador 
UK Tech industry expert VRAR technology 
USA Tech industry expert digital twins virtual twins’ expert 
Japan Tech industry expert VRAR technology 
Italy Tech industry expert future technologist 
USA Pioneer digital design VRAR technology applications 
Germany Co-Founder tech industry expert VRAR technology  

M Zallio PJ Clarkson                                                                                                                                                Gender strongly leaning towards males female constituted percentage interviewees",100,"interviewee location age gender identity expertise role 

usa tech industry expert future technologist 
italy pioneer vrar technology applications 
usa tech industry expert vrar technology 
usa tech industry expert vrar nft blockchain 
usa tech industry expert pioneer vrar technology applications 
usa tech industry expert accessibility ambassador 
uk tech industry expert vrar technology 
usa tech industry expert digital twins virtual twins’ expert 
japan tech industry expert vrar technology 
italy tech industry expert future technologist 
usa pioneer digital design vrar technology applications 
germany co-founder tech industry expert vrar technology  

m zallio pj clarkson                                                                                                                                                gender strongly leaning towards males female constituted percentage interviewees"
"Row80","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Interviews scheduled January February verbal introduction aims study 

followed series open-ended questions",12,"interviews scheduled january february verbal introduction aims study 

followed series open-ended questions"
"Row81","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Results 

Data interviews analysed via evidence-based procedure using NVivo software involved coding interview 
notes recordings",15,"results 

data interviews analysed via evidence-based procedure using nvivo software involved coding interview 
notes recordings"
"Row82","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","series thematic nodes related clusters questions created gather related material look emerging patterns research",14,"series thematic nodes related clusters questions created gather related material look emerging patterns research"
"Row83","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Thematic node focused central topic promoting understanding metaverse",8,"thematic node focused central topic promoting understanding metaverse"
"Row84","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Thematic node focused impact people’s safety wellbeing",7,"thematic node focused impact people’s safety wellbeing"
"Row85","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Thematic node focused personalisation impact data generated privacy integrity",9,"thematic node focused personalisation impact data generated privacy integrity"
"Row86","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Thematic node focused correlation physical digital immersive environments opportunities foster 

accessibility diverse range people",14,"thematic node focused correlation physical digital immersive environments opportunities foster 

accessibility diverse range people"
"Row87","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Thematic node focused impact social equity opportunities attract representations diverse communities",11,"thematic node focused impact social equity opportunities attract representations diverse communities"
"Row88","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","prevalence participants based USA perceived biased recognised organisations development metaverse associated technologies currently based headquarters USA",16,"prevalence participants based usa perceived biased recognised organisations development metaverse associated technologies currently based headquarters usa"
"Row89","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Notwithstanding age range participants sufficiently diverse relation gender balance despite strong efforts recruit wider range gender identities amongst experts tech organisations",21,"notwithstanding age range participants sufficiently diverse relation gender balance despite strong efforts recruit wider range gender identities amongst experts tech organisations"
"Row90","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","section quotes experts somehow appear controversial anecdotal excessively doubtful 
considered valuable contribution due nature pioneering research",16,"section quotes experts somehow appear controversial anecdotal excessively doubtful 
considered valuable contribution due nature pioneering research"
"Row91","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","shown Fig trends challenges opportunities emerged interviews thoroughly described following paragraphs",11,"shown fig trends challenges opportunities emerged interviews thoroughly described following paragraphs"
"Row92","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Fig",1,"fig"
"Row93","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","trends-opportunities-challenges metaverse interconnections map based experts’ feedback",8,"trends-opportunities-challenges metaverse interconnections map based experts’ feedback"
"Row94","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","M Zallio PJ Clarkson",4,"m zallio pj clarkson"
"Row95","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Understanding metaverse 

respondents highlighted uncertainty defining metaverse unique entity service technology",11,"understanding metaverse 

respondents highlighted uncertainty defining metaverse unique entity service technology"
"Row96","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","interviewees appears digital world empowered metaphors body extensions melting pot emerging 
technologies depict dystopian view people currently imagine",18,"interviewees appears digital world empowered metaphors body extensions melting pot emerging 
technologies depict dystopian view people currently imagine"
"Row97","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","metaverse easily tool empower users  socialise play experience embodied sensory cognitive 
circumstances redefine people live physical world",17,"metaverse easily tool empower users  socialise play experience embodied sensory cognitive 
circumstances redefine people live physical world"
"Row98","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","challenging identify agreed definition metaverse doubt evolving entity offers potentials challenges near future",13,"challenging identify agreed definition metaverse doubt evolving entity offers potentials challenges near future"
"Row99","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Interviewees reported metaverse imagined layer top real world entirely replace 
real world empower users understand physical world revealing accentuated emotions feelings develop ideas difficult capture human senses",27,"interviewees reported metaverse imagined layer top real world entirely replace 
real world empower users understand physical world revealing accentuated emotions feelings develop ideas difficult capture human senses"
"Row100","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","emerged various interviews metaverse entirely world people spend time 
physical world heuristics developed interaction paradigms designed",16,"emerged various interviews metaverse entirely world people spend time 
physical world heuristics developed interaction paradigms designed"
"Row101","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","appears clearer feedback metaverse digital immersive envi-
ronments constitute galaxy metaverses potential meet targets developed United Nations Sustainable Development Goals United Nations",22,"appears clearer feedback metaverse digital immersive envi-
ronments constitute galaxy metaverses potential meet targets developed united nations sustainable development goals united nations"
"Row102","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Interviewees revealed concept metaverse understood create series 
learning educational actions ensure users understand metaverse potential future",16,"interviewees revealed concept metaverse understood create series 
learning educational actions ensure users understand metaverse potential future"
"Row103","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","Emphasis 
positioned importance voices talking metaverse allowing people diverse -
ground ideas sit table embed design process try technologies create learning support 
knowledge metaverse",24,"emphasis 
positioned importance voices talking metaverse allowing people diverse -
ground ideas sit table embed design process try technologies create learning support 
knowledge metaverse"
"Row104","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","key factor enabling growth learning experiences lies creation critiques via analysis assessment theory practice constructive narrative metaverse brings scholars enthusiasts adopters exper-
iment spark conversations",25,"key factor enabling growth learning experiences lies creation critiques via analysis assessment theory practice constructive narrative metaverse brings scholars enthusiasts adopters exper-
iment spark conversations"
"Row105","""Designing metaverse study inclusion diversity equity accessibility safety digital immersive environments""","contextual sense creating awareness developing digital literacy programmes users ages gender culture abilities fundamental reduce missteps people past design deployment products technologies",22,"contextual sense creating awareness developing digital literacy programmes users ages gender culture abilities fundamental reduce missteps people past design deployment products technologies"
